Date,Open,High,Low,Close,Volume,Barcount,Average
2023-12-28 15:30:00+00:00,171.6,171.8,170.8,171.525,2025,921,171.24773423
2023-12-28 15:45:00+00:00,171.55,171.55,170.575,170.775,1472,716,171.11343619
2023-12-28 16:00:00+00:00,170.75,171.05,170.65,170.7,1014,499,170.85750974
2023-12-28 16:15:00+00:00,170.7,171.775,170.675,171.725,1265,630,171.31868413
2023-12-28 16:30:00+00:00,171.75,172.05,171.675,172.0,1332,493,171.80012993
2023-12-28 16:45:00+00:00,172.025,172.025,171.5,171.5,411,214,171.67850152
2023-12-28 17:00:00+00:00,171.5,171.65,171.125,171.275,476,292,171.39216797
2023-12-28 17:15:00+00:00,171.3,171.425,171.175,171.225,330,223,171.28067526
2023-12-28 17:30:00+00:00,171.25,171.275,170.45,170.725,1140,517,170.75868666
2023-12-28 17:45:00+00:00,170.7,170.95,170.325,170.6,866,378,170.59904937
2023-12-28 18:00:00+00:00,170.6,170.9,170.425,170.7,402,230,170.61425292
2023-12-28 18:15:00+00:00,170.725,170.725,170.525,170.6,338,193,170.611719
2023-12-28 18:30:00+00:00,170.625,170.65,170.525,170.6,428,187,170.57117619
2023-12-28 18:45:00+00:00,170.625,170.675,170.35,170.45,542,244,170.50529414
2023-12-28 19:00:00+00:00,170.425,170.475,170.15,170.4,563,245,170.32538545
2023-12-28 19:15:00+00:00,170.375,171.0,170.35,170.925,721,332,170.74348311
2023-12-28 19:30:00+00:00,170.925,171.55,170.925,171.5,1194,491,171.30094666
2023-12-28 19:45:00+00:00,171.45,171.5,171.075,171.25,1345,622,171.24266638
2023-12-28 20:00:00+00:00,171.25,171.4,171.225,171.4,454,156,171.29334488
2023-12-29 15:30:00+00:00,172.05,172.3,171.65,171.675,3204,1263,172.08139563
2023-12-29 15:45:00+00:00,171.675,172.0,171.5,171.9,1177,544,171.82040133
2023-12-29 16:00:00+00:00,171.9,171.925,171.425,171.7,954,393,171.62528909
2023-12-29 16:15:00+00:00,171.725,171.775,171.15,171.425,643,274,171.40230367
2023-12-29 16:30:00+00:00,171.4,171.75,171.35,171.65,729,310,171.52393208
2023-12-29 16:45:00+00:00,171.625,171.65,171.2,171.3,392,205,171.35669301
2023-12-29 17:00:00+00:00,171.35,171.55,171.275,171.45,243,140,171.38963404
2023-12-29 17:15:00+00:00,171.425,171.525,171.275,171.5,172,101,171.37696441
2023-12-29 17:30:00+00:00,171.475,171.525,171.275,171.3,176,100,171.41497329
