Date,Open,High,Low,Close,Volume,Barcount,Average
2023-12-28 15:30:00+00:00,225.55,225.95,224.35,225.0,346,273,224.83
2023-12-28 15:45:00+00:00,225.15,225.2,224.025,224.25,305,216,224.5675
2023-12-28 16:00:00+00:00,224.275,224.5,223.875,223.875,192,145,224.2375
2023-12-28 16:15:00+00:00,223.9,225.1,223.775,224.775,192,140,224.2925
2023-12-28 16:30:00+00:00,224.8,225.475,224.725,225.4,161,118,225.06
2023-12-28 16:45:00+00:00,225.375,225.425,224.65,224.75,90,66,224.925
2023-12-28 17:00:00+00:00,224.7,224.9,224.175,224.275,113,88,224.4975
2023-12-28 17:15:00+00:00,224.325,224.375,224.025,224.25,94,67,224.2125
2023-12-28 17:30:00+00:00,224.275,224.325,223.225,223.525,390,236,223.6525
2023-12-28 17:45:00+00:00,223.425,223.7,222.925,223.425,256,177,223.3125
2023-12-28 18:00:00+00:00,223.45,223.575,222.95,223.375,188,132,223.2425
2023-12-28 18:15:00+00:00,223.375,223.5,223.05,223.375,92,65,223.295
2023-12-28 18:30:00+00:00,223.375,223.525,223.25,223.475,101,78,223.4
2023-12-28 18:45:00+00:00,223.5,223.575,223.1,223.125,101,64,223.255
2023-12-28 19:00:00+00:00,223.125,223.125,222.725,223.1,215,157,222.95
2023-12-28 19:15:00+00:00,223.1,223.825,223.075,223.6,140,111,223.4475
2023-12-28 19:30:00+00:00,223.675,224.2,223.625,223.9,169,123,223.9125
2023-12-28 19:45:00+00:00,223.875,223.875,223.075,223.125,753,464,223.25
2023-12-28 20:00:00+00:00,223.15,223.5,223.1,223.375,125,84,223.265
2023-12-29 15:30:00+00:00,224.4,224.45,223.425,223.55,538,365,223.91
2023-12-29 15:45:00+00:00,223.525,224.15,222.85,223.325,252,174,223.4475
2023-12-29 16:00:00+00:00,223.3,223.375,222.875,223.375,134,110,223.135
2023-12-29 16:15:00+00:00,223.425,223.45,222.8,222.9,139,95,223.095
2023-12-29 16:30:00+00:00,222.875,223.55,222.875,223.475,167,120,223.1875
2023-12-29 16:45:00+00:00,223.525,223.525,222.925,223.15,84,62,223.145
2023-12-29 17:00:00+00:00,223.15,223.425,222.975,223.3,114,85,223.1775
2023-12-29 17:15:00+00:00,223.275,223.275,222.825,223.175,113,79,223.0075
2023-12-29 17:30:00+00:00,223.2,223.425,222.8,222.8,134,90,223.1025
2023-12-29 17:45:00+00:00,222.825,223.3,222.725,223.225,134,88,222.945
2023-12-29 18:00:00+00:00,223.25,223.575,223.175,223.5,107,79,223.3775
2023-12-29 18:15:00+00:00,223.55,223.775,223.25,223.75,133,101,223.52
2023-12-29 18:30:00+00:00,223.775,223.875,222.75,223.175,128,84,223.225
2023-12-29 18:45:00+00:00,223.125,223.5,223.025,223.45,82,60,223.2425
2023-12-29 19:00:00+00:00,223.425,223.775,223.225,223.65,144,109,223.525
2023-12-29 19:15:00+00:00,223.675,223.675,223.3,223.6,77,52,223.49
2023-12-29 19:30:00+00:00,223.525,223.85,223.5,223.625,147,77,223.695
2023-12-29 19:45:00+00:00,223.625,223.625,222.9,223.025,509,340,223.1325
2023-12-29 20:00:00+00:00,223.05,223.125,222.925,223.125,168,98,222.995
2024-01-02 15:30:00+00:00,223.1,226.35,222.95,226.075,933,649,224.7025
2024-01-02 15:45:00+00:00,225.975,227.675,225.975,227.425,783,543,226.9925
2024-01-02 16:00:00+00:00,227.45,227.925,226.725,227.025,526,332,227.3475
2024-01-02 16:15:00+00:00,227.075,227.275,226.7,227.125,204,155,226.9925
2024-01-02 16:30:00+00:00,227.125,227.8,227.075,227.4,246,172,227.5225
2024-01-02 16:45:00+00:00,227.475,227.7,226.925,227.075,182,131,227.37
2024-01-02 17:00:00+00:00,227.1,227.625,226.8,227.625,189,138,227.31
2024-01-02 17:15:00+00:00,227.575,227.875,226.55,226.7,277,187,227.345
2024-01-02 17:30:00+00:00,226.775,227.125,226.7,226.925,71,56,226.85
2024-01-02 17:45:00+00:00,226.975,227.1,226.325,226.9,174,128,226.69
2024-01-02 18:00:00+00:00,226.95,227.325,226.85,227.025,111,91,227.0725
2024-01-02 18:15:00+00:00,227.05,227.25,226.575,226.65,115,99,227.0
2024-01-02 18:30:00+00:00,226.65,226.95,226.5,226.525,92,76,226.71
2024-01-02 18:45:00+00:00,226.55,226.725,226.025,226.175,131,95,226.37
2024-01-02 19:00:00+00:00,226.2,226.55,226.125,226.2,98,89,226.32
2024-01-02 19:15:00+00:00,226.25,226.625,226.1,226.2,93,78,226.3425
2024-01-02 19:30:00+00:00,226.1,226.45,225.95,226.15,173,129,226.1275
2024-01-02 19:45:00+00:00,226.175,226.6,226.075,226.4,525,392,226.425
2024-01-02 20:00:00+00:00,226.425,226.525,226.225,226.3,118,73,226.39
2024-01-03 15:30:00+00:00,226.4,226.65,225.35,226.475,750,532,225.87
2024-01-03 15:45:00+00:00,226.6,226.8,226.025,226.175,260,204,226.3775
2024-01-03 16:00:00+00:00,226.175,226.25,225.2,225.675,349,222,225.635
2024-01-03 16:15:00+00:00,225.6,226.35,225.5,226.175,163,115,226.0175
2024-01-03 16:30:00+00:00,226.2,226.675,225.925,226.025,162,113,226.3625
2024-01-03 16:45:00+00:00,226.075,227.025,225.95,226.75,202,139,226.655
2024-01-03 17:00:00+00:00,226.75,227.125,225.8,225.9,222,162,226.4775
2024-01-03 17:15:00+00:00,225.875,226.375,225.75,226.375,95,81,226.0375
2024-01-03 17:30:00+00:00,226.25,226.3,225.45,225.65,161,108,225.76
2024-01-03 17:45:00+00:00,225.575,225.625,225.075,225.25,227,171,225.3575
2024-01-03 18:00:00+00:00,225.25,225.75,225.05,225.125,136,96,225.36
2024-01-03 18:15:00+00:00,225.125,225.75,225.1,225.675,100,78,225.3275
2024-01-03 18:30:00+00:00,225.625,225.975,225.45,225.925,72,54,225.71
2024-01-03 18:45:00+00:00,225.925,226.35,225.775,226.15,144,101,226.12
2024-01-03 19:00:00+00:00,226.175,226.55,225.9,226.5,133,89,226.3175
2024-01-03 19:15:00+00:00,226.525,226.775,226.4,226.7,152,95,226.63
2024-01-03 19:30:00+00:00,226.75,227.25,226.7,227.025,362,215,226.9325
2024-01-03 19:45:00+00:00,227.1,227.1,226.875,227.075,576,382,226.9975
2024-01-03 20:00:00+00:00,227.075,227.175,227.025,227.05,146,91,227.08
2024-01-04 15:30:00+00:00,227.05,227.05,225.95,226.425,610,449,226.4475
2024-01-04 15:45:00+00:00,226.45,226.85,226.175,226.575,220,176,226.4925
2024-01-04 16:00:00+00:00,226.525,226.8,226.05,226.1,204,150,226.37
2024-01-04 16:15:00+00:00,226.1,226.175,225.9,226.075,156,111,226.045
2024-01-04 16:30:00+00:00,226.075,226.875,225.95,226.875,189,130,226.3775
2024-01-04 16:45:00+00:00,226.8,227.6,226.65,227.5,296,213,227.0875
2024-01-04 17:00:00+00:00,227.525,227.6,226.875,226.975,235,147,227.31
2024-01-04 17:15:00+00:00,227.075,227.125,226.275,226.3,177,123,226.555
2024-01-04 17:30:00+00:00,226.3,226.3,225.55,225.75,313,203,225.845
2024-01-04 17:45:00+00:00,225.725,226.525,225.725,226.175,158,101,226.26
2024-01-04 18:00:00+00:00,226.15,226.15,225.85,226.05,95,67,225.9775
2024-01-04 18:15:00+00:00,226.025,226.35,225.925,226.075,87,58,226.1425
2024-01-04 18:30:00+00:00,226.05,226.075,225.6,225.6,144,88,225.7925
2024-01-04 18:45:00+00:00,225.55,226.075,225.4,226.075,179,115,225.7325
2024-01-04 19:00:00+00:00,226.1,226.2,225.825,225.9,105,73,225.9775
2024-01-04 19:15:00+00:00,225.8,226.125,225.675,225.9,89,59,225.8675
2024-01-04 19:30:00+00:00,225.875,225.9,225.7,225.7,85,62,225.79
2024-01-04 19:45:00+00:00,225.7,225.75,225.45,225.6,475,347,225.6225
2024-01-04 20:00:00+00:00,225.6,225.7,225.5,225.525,155,103,225.64
2024-01-05 15:30:00+00:00,225.775,226.4,225.3,225.95,673,455,225.905
2024-01-05 15:45:00+00:00,225.95,226.45,225.825,226.1,216,168,226.21
2024-01-05 16:00:00+00:00,226.175,227.225,226.05,227.125,313,212,226.62
2024-01-05 16:15:00+00:00,227.15,228.125,226.85,227.85,859,519,227.6025
2024-01-05 16:30:00+00:00,227.85,227.975,227.1,227.125,360,218,227.5925
2024-01-05 16:45:00+00:00,227.05,227.45,226.3,226.625,295,209,226.87
2024-01-05 17:00:00+00:00,226.65,226.675,226.1,226.45,237,147,226.3325
2024-01-05 17:15:00+00:00,226.325,226.4,225.8,225.8,213,143,226.08
2024-01-05 17:30:00+00:00,225.775,225.775,223.6,223.6,904,562,224.5375
2024-01-05 17:45:00+00:00,223.625,224.275,223.475,224.225,391,247,223.8525
2024-01-05 18:00:00+00:00,224.2,224.575,223.825,224.25,276,167,224.165
2024-01-05 18:15:00+00:00,224.25,224.8,224.175,224.675,195,117,224.4675
2024-01-05 18:30:00+00:00,224.625,224.95,224.525,224.825,165,113,224.7375
2024-01-05 18:45:00+00:00,224.875,224.9,224.275,224.425,118,75,224.565
2024-01-05 19:00:00+00:00,224.425,224.75,224.375,224.425,109,72,224.62
2024-01-05 19:15:00+00:00,224.475,224.475,224.15,224.15,109,66,224.2925
2024-01-05 19:30:00+00:00,224.1,224.225,223.95,223.95,195,114,224.0575
2024-01-05 19:45:00+00:00,223.9,224.325,223.85,224.175,474,290,224.1075
2024-01-05 20:00:00+00:00,224.15,224.425,224.15,224.4,167,93,224.3025
2024-01-08 15:30:00+00:00,224.75,225.2,224.25,224.875,508,349,224.7675
2024-01-08 15:45:00+00:00,224.85,227.4,224.625,226.95,1197,770,226.35
2024-01-08 16:00:00+00:00,227.025,227.4,226.7,227.15,548,335,227.1
2024-01-08 16:15:00+00:00,227.175,227.675,227.125,227.525,390,240,227.435
2024-01-08 16:30:00+00:00,227.5,227.775,226.45,226.6,476,329,227.245
2024-01-08 16:45:00+00:00,226.55,226.75,225.35,225.7,448,317,225.9725
2024-01-08 17:00:00+00:00,225.725,225.975,225.125,225.25,263,175,225.5275
2024-01-08 17:15:00+00:00,225.225,225.425,224.625,224.9,234,153,225.055
2024-01-08 17:30:00+00:00,224.85,225.15,224.375,225.0,249,165,224.74
2024-01-08 17:45:00+00:00,224.975,225.25,224.5,224.675,162,117,224.8775
2024-01-08 18:00:00+00:00,224.65,225.35,224.45,225.175,151,100,224.8925
2024-01-08 18:15:00+00:00,225.175,225.475,225.175,225.475,79,65,225.315
2024-01-08 18:30:00+00:00,225.5,225.7,225.325,225.625,103,69,225.5325
2024-01-08 18:45:00+00:00,225.575,225.95,225.375,225.475,153,112,225.6775
2024-01-08 19:00:00+00:00,225.425,225.75,225.375,225.75,81,64,225.54
2024-01-08 19:15:00+00:00,225.8,225.95,225.6,225.8,117,82,225.785
2024-01-08 19:30:00+00:00,225.725,226.2,225.6,225.8,223,152,225.9275
2024-01-08 19:45:00+00:00,225.825,225.825,224.725,225.0,755,481,225.145
2024-01-08 20:00:00+00:00,225.0,225.025,224.825,225.0,207,116,224.925
2024-01-09 15:30:00+00:00,225.075,225.325,223.925,225.175,621,446,224.6375
2024-01-09 15:45:00+00:00,225.2,225.55,224.975,225.025,163,133,225.2575
2024-01-09 16:00:00+00:00,224.925,225.75,224.875,225.675,145,122,225.28
2024-01-09 16:15:00+00:00,225.75,226.0,224.5,224.55,228,173,225.375
2024-01-09 16:30:00+00:00,224.525,225.675,224.4,225.675,379,284,225.06
2024-01-09 16:45:00+00:00,225.675,225.875,225.225,225.275,275,189,225.5275
2024-01-09 17:00:00+00:00,225.325,226.375,225.325,225.95,425,310,225.99
2024-01-09 17:15:00+00:00,226.0,226.05,225.275,225.95,245,187,225.76
2024-01-09 17:30:00+00:00,226.0,226.075,225.5,225.675,108,93,225.735
2024-01-09 17:45:00+00:00,225.6,225.625,224.7,225.1,180,135,225.1725
2024-01-09 18:00:00+00:00,225.1,225.1,224.5,224.575,165,129,224.7675
2024-01-09 18:15:00+00:00,224.5,224.675,224.35,224.35,169,117,224.5175
2024-01-09 18:30:00+00:00,224.325,224.35,223.85,224.225,301,187,224.1225
2024-01-09 18:45:00+00:00,224.15,224.4,223.975,224.225,120,90,224.14
2024-01-09 19:00:00+00:00,224.1,224.325,223.85,224.325,132,87,224.0675
2024-01-09 19:15:00+00:00,224.35,224.625,224.225,224.525,128,93,224.4375
2024-01-09 19:30:00+00:00,224.475,224.9,224.225,224.875,159,106,224.6575
2024-01-09 19:45:00+00:00,224.85,225.15,224.825,224.875,659,391,224.9275
2024-01-09 20:00:00+00:00,224.9,224.9,224.6,224.6,199,111,224.7325
2024-01-10 15:30:00+00:00,224.625,226.2,224.6,225.275,574,399,225.67
2024-01-10 15:45:00+00:00,225.2,226.125,225.0,225.75,198,137,225.67
2024-01-10 16:00:00+00:00,225.8,226.025,225.125,225.3,209,141,225.6325
2024-01-10 16:15:00+00:00,225.45,225.5,225.1,225.325,189,150,225.2825
2024-01-10 16:30:00+00:00,225.4,225.675,225.225,225.475,145,95,225.445
2024-01-10 16:45:00+00:00,225.45,225.825,225.4,225.675,111,72,225.65
2024-01-10 17:00:00+00:00,225.75,225.925,225.025,225.425,217,149,225.3775
2024-01-10 17:15:00+00:00,225.475,225.9,225.475,225.775,126,90,225.745
2024-01-10 17:30:00+00:00,225.75,226.8,225.525,226.5,709,398,226.2875
2024-01-10 17:45:00+00:00,226.55,226.925,226.25,226.8,381,240,226.69
2024-01-10 18:00:00+00:00,226.75,226.925,226.25,226.7,176,130,226.655
2024-01-10 18:15:00+00:00,226.725,226.75,226.4,226.5,123,91,226.58
2024-01-10 18:30:00+00:00,226.525,226.825,226.375,226.525,159,106,226.605
2024-01-10 18:45:00+00:00,226.525,226.575,226.1,226.2,162,111,226.3725
2024-01-10 19:00:00+00:00,226.2,226.225,225.8,226.15,157,107,226.04
2024-01-10 19:15:00+00:00,226.05,226.375,225.825,226.375,93,66,226.0625
2024-01-10 19:30:00+00:00,226.3,226.4,225.95,226.0,87,70,226.1625
2024-01-10 19:45:00+00:00,226.0,226.225,225.75,226.15,614,402,226.05
2024-01-10 20:00:00+00:00,226.15,226.5,226.15,226.4,172,111,226.32
2024-01-11 15:30:00+00:00,226.525,226.525,224.85,225.25,910,577,225.4075
2024-01-11 15:45:00+00:00,225.25,225.65,224.95,225.375,277,203,225.295
2024-01-11 16:00:00+00:00,225.4,225.55,225.075,225.175,186,125,225.2675
2024-01-11 16:15:00+00:00,225.2,226.0,225.2,225.5,181,126,225.57
2024-01-11 16:30:00+00:00,225.5,226.45,225.475,226.425,167,124,226.045
2024-01-11 16:45:00+00:00,226.35,227.4,226.3,226.95,497,327,227.0325
2024-01-11 17:00:00+00:00,227.05,227.125,226.2,226.375,162,115,226.6025
2024-01-11 17:15:00+00:00,226.425,226.625,226.025,226.625,123,81,226.3425
2024-01-11 17:30:00+00:00,226.525,227.0,226.525,227.0,121,88,226.755
2024-01-11 17:45:00+00:00,226.975,227.3,226.725,226.775,207,117,227.0275
2024-01-11 18:00:00+00:00,226.7,227.15,226.7,227.075,84,69,226.96
2024-01-11 18:15:00+00:00,227.075,227.075,226.675,226.725,101,73,226.8825
2024-01-11 18:30:00+00:00,226.75,226.925,226.525,226.55,62,46,226.7325
2024-01-11 18:45:00+00:00,226.55,226.8,226.475,226.725,86,57,226.6175
2024-01-11 19:00:00+00:00,226.75,227.375,226.75,227.325,370,228,227.0925
2024-01-11 19:15:00+00:00,227.3,227.4,227.2,227.225,138,89,227.3275
2024-01-11 19:30:00+00:00,227.075,227.5,227.05,227.4,162,100,227.3825
2024-01-11 19:45:00+00:00,227.425,227.925,227.325,227.375,905,489,227.5175
2024-01-11 20:00:00+00:00,227.35,227.375,227.05,227.175,223,94,227.235
2024-01-12 15:30:00+00:00,227.2,227.825,227.075,227.425,431,300,227.415
2024-01-12 15:45:00+00:00,227.425,227.5,226.7,227.175,194,154,227.06
2024-01-12 16:00:00+00:00,227.275,227.375,226.325,226.525,200,149,226.685
2024-01-12 16:15:00+00:00,226.5,226.575,226.275,226.475,222,144,226.4475
2024-01-12 16:30:00+00:00,226.425,226.45,225.75,225.975,296,167,226.0925
2024-01-12 16:45:00+00:00,226.025,226.275,225.675,225.875,248,145,225.9675
2024-01-12 17:00:00+00:00,225.875,226.125,225.75,226.0,191,121,225.885
2024-01-12 17:15:00+00:00,226.0,226.625,225.75,226.6,165,110,226.1775
2024-01-12 17:30:00+00:00,226.575,226.825,226.5,226.6,113,80,226.675
2024-01-12 17:45:00+00:00,226.575,226.625,226.225,226.3,63,53,226.3475
2024-01-12 18:00:00+00:00,226.425,227.15,226.425,226.975,242,154,226.85
2024-01-12 18:15:00+00:00,226.975,227.125,226.675,227.075,142,101,226.9375
2024-01-12 18:30:00+00:00,227.0,227.9,226.9,227.875,313,182,227.4675
2024-01-12 18:45:00+00:00,227.825,229.025,227.55,228.75,779,417,228.325
